country,value,rank,iso3
Fiji,0,207,FJI
Falkland Islands (Malvinas),0,208,FLK
Faroe Islands,0,209,FRO
"Micronesia, Federated States of",0,210,FSM
Gabon,0,211,GAB
Georgia,0,212,GEO
Guernsey,0,213,GGY
Ghana,0,214,GHA
Gibraltar,0,215,GIB
Guinea,0,216,GIN
Guadeloupe,0,217,GLP
Gambia,0,218,GMB
Guinea-Bissau,0,219,GNB
Equatorial Guinea,0,220,GNQ
Grenada,0,221,GRD
Greenland,0,222,GRL
Guatemala,0,223,GTM
French Guiana,0,224,GUF
Guam,0,225,GUM
Guyana,0,226,GUY
Hong Kong,0,227,HKG
Heard Island and McDonald Islands,0,228,HMD
Honduras,0,229,HND
Haiti,0,230,HTI
Hungary,0,231,HUN
Indonesia,0,232,IDN
Isle of Man,0,233,IMN
India,0,234,IND
British Indian Ocean Territory,0,235,IOT
"Iran, Islamic Republic of",0,236,IRN
Iraq,0,237,IRQ
Jamaica,0,238,JAM
Jersey,0,239,JEY
Jordan,0,240,JOR
Kenya,0,241,KEN
Kyrgyzstan,0,242,KGZ
Cambodia,0,243,KHM
Kiribati,0,244,KIR
Saint Kitts and Nevis,0,245,KNA
Lao People's Democratic Republic,0,246,LAO
Lebanon,0,247,LBN
Liberia,0,248,LBR
Libya,0,249,LBY
Saint Lucia,0,250,LCA
Liechtenstein,0,251,LIE
Sri Lanka,0,252,LKA
Lesotho,0,253,LSO
Macao,0,254,MAC
Saint Martin (French part),0,255,MAF
Morocco,0,256,MAR
Monaco,0,257,MCO
Madagascar,0,258,MDG
Maldives,0,259,MDV
Mexico,0,260,MEX
Marshall Islands,0,261,MHL
North Macedonia,0,262,MKD
Mali,0,263,MLI
Myanmar,0,264,MMR
Mongolia,0,265,MNG
Northern Mariana Islands,0,266,MNP
Mozambique,0,267,MOZ
Mauritania,0,268,MRT
Montserrat,0,269,MSR
Martinique,0,270,MTQ
Mauritius,0,271,MUS
Malawi,0,272,MWI
Malaysia,0,273,MYS
Mayotte,0,274,MYT
Namibia,0,275,NAM
New Caledonia,0,276,NCL
Niger,0,277,NER
Norfolk Island,0,278,NFK
Nigeria,0,279,NGA
Nicaragua,0,280,NIC
Niue,0,281,NIU
Nepal,0,282,NPL
Nauru,0,283,NRU
Pakistan,0,284,PAK
Panama,0,285,PAN
Pitcairn,0,286,PCN
Peru,0,287,PER
Philippines,0,288,PHL
Palau,0,289,PLW
Papua New Guinea,0,290,PNG
Puerto Rico,0,291,PRI
"Korea, Democratic People's Republic of",0,292,PRK
Paraguay,0,293,PRY
"Palestine, State of",0,294,PSE
French Polynesia,0,295,PYF
Réunion,0,296,REU
Rwanda,0,297,RWA
Sudan,0,298,SDN
Senegal,0,299,SEN
Singapore,0,300,SGP
South Georgia and the South Sandwich Islands,0,301,SGS
"Saint Helena, Ascension and Tristan da Cunha",0,302,SHN
Svalbard and Jan Mayen,0,303,SJM
Solomon Islands,0,304,SLB
Sierra Leone,0,305,SLE
El Salvador,0,306,SLV
San Marino,0,307,SMR
Somalia,0,308,SOM
Saint Pierre and Miquelon,0,309,SPM
Serbia,0,310,SRB
South Sudan,0,311,SSD
Sao Tome and Principe,0,312,STP
Suriname,0,313,SUR
Eswatini,0,314,SWZ
Sint Maarten (Dutch part),0,315,SXM
Syrian Arab Republic,0,316,SYR
Turks and Caicos Islands,0,317,TCA
Chad,0,318,TCD
Togo,0,319,TGO
Thailand,0,320,THA
Tajikistan,0,321,TJK
Tokelau,0,322,TKL
Turkmenistan,0,323,TKM
Timor-Leste,0,324,TLS
Tonga,0,325,TON
Trinidad and Tobago,0,326,TTO
Tunisia,0,327,TUN
Tuvalu,0,328,TUV
"Taiwan, Province of China",0,329,TWN
"Tanzania, United Republic of",0,330,TZA
Uganda,0,331,UGA
Ukraine,0,332,UKR
United States Minor Outlying Islands,0,333,UMI
Uzbekistan,0,334,UZB
Holy See (Vatican City State),0,335,VAT
Saint Vincent and the Grenadines,0,336,VCT
"Venezuela, Bolivarian Republic of",0,337,VEN
"Virgin Islands, British",0,338,VGB
"Virgin Islands, U.S.",0,339,VIR
Viet Nam,0,340,VNM
Vanuatu,0,341,VUT
Wallis and Futuna,0,342,WLF
Samoa,0,343,WSM
Yemen,0,344,YEM
South Africa,0,345,ZAF
Zambia,0,346,ZMB
Zimbabwe,0,347,ZWE
