country,year,value,iso3
Sweden,2022,41.03,SWE
Switzerland,2022,37.26,CHE
Syria,2022,682.27,SYR
Taiwan,2022,639.27,TWN
Tajikistan,2022,86.55,TJK
"Tanzania, the United Republic of",2022,349.27,TZA
Thailand,2022,561.12,THA
The Philippines,2022,602.67,PHL
Togo,2022,477.78,TGO
Tonga,2022,625.0,TON
Trinidad and Tobago,2022,682.11,TTO
Tunisia,2022,565.62,TUN
Turkiye,2022,487.9,TUR
Turkmenistan,2022,1306.14,TKM
Turks and Caicos Islands,2022,653.85,TCA
Uganda,2022,57.39,UGA
Ukraine,2022,256.21,UKR
United Kingdom,2022,250.77,GBR
United States,2022,410.37,USA
Uruguay,2022,110.36,URY
Uzbekistan,2022,1121.35,UZB
Vanuatu,2022,500.0,VUT
Venezuela,2022,180.43,VEN
Viet Nam,2022,415.49,VNM
Virgin Islands (British),2022,647.06,
Virgin Islands (U.S.),2022,632.35,VIR
World,2022,489.78,WLD
Yemen,2022,584.16,YEM
Zambia,2022,111.97,ZMB
Zimbabwe,2022,297.54,ZWE
