pc,year2,sector,real_annual,year
0.887001746,2019-06-01,private,25722.19781,2019
-0.308423759,2019-07-01,private,25619.12104,2019
-1.649108,2019-08-01,private,25126.8373,2019
0.793187937,2019-09-01,private,25302.77674,2019
-0.301821683,2019-10-01,private,25249.70056,2019
-0.161816337,2019-11-01,private,25162.37451,2019
3.305421107,2019-12-01,private,25994.09694,2019
1.25024414,2020-01-01,private,26367.69066,2020
1.057134895,2020-02-01,private,26572.82378,2020
8.596350545,2020-03-01,private,28857.11687,2020
-13.46558362,2020-04-01,private,24971.33766,2020
-1.061145921,2020-05-01,private,24706.35533,2020
0.413768454,2020-06-01,private,24762.97843,2020
1.660557309,2020-07-01,private,25081.96875,2020
1.011217374,2020-08-01,private,25428.74758,2020
1.114154937,2020-09-01,private,25617.87984,2020
1.394650953,2020-10-01,private,25975.15985,2020
1.204129054,2020-11-01,private,26312.02956,2020
4.037664102,2020-12-01,private,27299.35396,2020
-0.391149624,2021-01-01,private,27217.45148,2021
0.732663652,2021-02-01,private,27391.80274,2021
8.927007971,2021-03-01,private,29755.47478,2021
-8.541224275,2021-04-01,private,27041.44046,2021
-0.596066721,2021-05-01,private,26734.95675,2021
0.257240168,2021-06-01,private,26707.4866,2021
-0.349970362,2021-07-01,private,26614.01832,2021
-0.663064087,2021-08-01,private,26272.46303,2021
-0.052800585,2021-09-01,private,26188.50581,2021
0.940111312,2021-10-01,private,26201.59662,2021
0.269664425,2021-11-01,private,26111.07354,2021
7.115503093,2021-12-01,private,27827.06779,2021
-1.240124166,2022-01-01,private,27501.64184,2022
0.660750419,2022-02-01,private,27491.44669,2022
15.25073345,2022-03-01,private,31384.93083,2022
-13.72208884,2022-04-01,private,26509.39167,2022
-1.438725943,2022-05-01,private,25975.19889,2022
2.811522132,2022-06-01,private,26528.19944,2022
-1.13656817,2022-07-01,private,26075.2141,2022
-0.357082996,2022-08-01,private,25854.11329,2022
-0.078333475,2022-09-01,private,25728.24409,2022
0.991385173,2022-10-01,private,25565.23591,2022
1.080557825,2022-11-01,private,25737.95149,2022
4.369511233,2022-12-01,private,26755.38114,2022
-0.560878496,2023-01-01,private,26711.90777,2023
1.796341672,2023-02-01,private,26932.7759,2023
13.98513663,2023-03-01,private,30505.67459,2023
-11.81638154,2023-04-01,private,26586.49863,2023
-1.272639268,2023-05-01,private,26085.49528,2023
1.774088805,2023-06-01,private,26486.72581,2023
-0.77939588,2023-07-01,private,26361.77863,2023
-0.780938102,2023-08-01,private,26075.05657,2023
1.176352621,2023-09-01,private,26239.84457,2023
-1.491894357,2023-10-01,private,25828.52099,2023
0.727271806,2023-11-01,private,26056.38972,2023
4.566136675,2023-12-01,private,27141.76867,2023
-0.920922533,2024-01-01,private,26995.24406,2024
2.249568519,2024-02-01,private,27433.69781,2024
14.74580815,2024-03-01,private,31287.65645,2024
-12.48978646,2024-04-01,private,27255.62918,2024
-2.205549599,2024-05-01,private,26554.06136,2024
-1.015198581,2010-01-01,public,26778.01093,2010
0.462666755,2010-02-01,public,26841.45017,2010
1.102080814,2010-03-01,public,27015.84511,2010
-0.220374471,2010-04-01,public,26806.38523,2010
0.328334097,2010-05-01,public,26834.70073,2010
5.611727536,2010-06-01,public,28309.1713,2010
-5.353458638,2010-07-01,public,26853.19297,2010
0.084113477,2010-08-01,public,26756.86074,2010
0.688575028,2010-09-01,public,26941.10181,2010
-0.256387775,2010-10-01,public,26812.70796,2010
0.678679238,2010-11-01,public,26905.58889,2010
0.451695149,2010-12-01,public,26791.33282,2010
-0.615146856,2011-01-01,public,26597.52185,2011
0.348869422,2011-02-01,public,26545.7279,2011
2.695343247,2011-03-01,public,27172.90707,2011
-1.799269985,2011-04-01,public,26483.79166,2011
-0.094725985,2011-05-01,public,26402.10847,2011
7.114787304,2011-06-01,public,28280.56233,2011
-5.368711249,2011-07-01,public,26762.2606,2011
-1.161905069,2011-08-01,public,26338.62991,2011
0.435053518,2011-09-01,public,26285.26011,2011
-0.300086332,2011-10-01,public,26206.38164,2011
0.636261837,2011-11-01,public,26317.42459,2011
-0.01972356,2011-12-01,public,26229.14259,2011
-1.242677211,2012-01-01,public,25985.25772,2012
0.750930684,2012-02-01,public,26042.88695,2012
2.169088006,2012-03-01,public,26551.99858,2012
-1.241119279,2012-04-01,public,26085.7389,2012
0.304438006,2012-05-01,public,26165.1538,2012
6.412011302,2012-06-01,public,27930.23943,2012
-5.268011431,2012-07-01,public,26431.2235,2012
1.339052396,2012-08-01,public,26673.66277,2012
-0.808013161,2012-09-01,public,26375.79747,2012
-0.542069705,2012-10-01,public,26124.42217,2012
0.030091292,2012-11-01,public,26078.40235,2012
0.695995866,2012-12-01,public,26178.94115,2012
-1.455137932,2013-01-01,public,25877.78908,2013
-0.297871941,2013-02-01,public,25668.3951,2013
2.30615591,2013-03-01,public,26179.79509,2013
-0.861986839,2013-04-01,public,25901.16109,2013
0.242689308,2013-05-01,public,25911.14056,2013
4.748237263,2013-06-01,public,27196.85374,2013
-4.816515901,2013-07-01,public,25886.91295,2013
-0.16727271,2013-08-01,public,25738.55588,2013
0.553296549,2013-09-01,public,25802.30087,2013
-0.2916665,2013-10-01,public,25701.00468,2013
-0.14807863,2013-11-01,public,25662.94699,2013
0.692880768,2013-12-01,public,25736.564,2013
-0.798118685,2014-01-01,public,25660.49283,2014
0.201518899,2014-02-01,public,25608.42071,2014
2.5656064,2014-03-01,public,26212.53082,2014
-1.634538097,2014-04-01,public,25706.41414,2014
-0.150417744,2014-05-01,public,25667.74713,2014
1.710250284,2014-06-01,public,26054.41175,2014
-1.322282724,2014-07-01,public,25761.52507,2014
-0.883227526,2014-08-01,public,25457.31353,2014
1.036815282,2014-09-01,public,25695.53759,2014
-0.684979309,2014-10-01,public,25494.03444,2014
-0.013930765,2014-11-01,public,25541.51493,2014
1.193931429,2014-12-01,public,25846.4631,2014
-1.129170744,2015-01-01,public,25734.93729,2015
0.455310521,2015-02-01,public,25774.1651,2015
0.334826785,2015-03-01,public,25834.49959,2015
0.384336259,2015-04-01,public,25855.91168,2015
-0.215794819,2015-05-01,public,25748.56728,2015
1.55526563,2015-06-01,public,26149.0259,2015
-1.167596711,2015-07-01,public,25869.55444,2015
-0.346587145,2015-08-01,public,25702.78554,2015
1.269328107,2015-09-01,public,26055.0153,2015
-0.938875306,2015-10-01,public,25784.65801,2015
0.378473626,2015-11-01,public,25882.24614,2015
0.187825059,2015-12-01,public,25905.03193,2015
-0.195310933,2016-01-01,public,25983.83816,2016
0.306621412,2016-02-01,public,26011.43522,2016
0.315316924,2016-03-01,public,26015.48519,2016
0.673940755,2016-04-01,public,26138.74494,2016
-0.543081047,2016-05-01,public,25945.20943,2016
2.375980794,2016-06-01,public,26509.06528,2016
-2.081080915,2016-07-01,public,25983.11603,2016
0.486804134,2016-08-01,public,26032.20291,2016
-0.060198459,2016-09-01,public,25939.63577,2016
-0.30334615,2016-10-01,public,25835.49519,2016
0.318150075,2016-11-01,public,25866.772,2016
0.256567702,2016-12-01,public,25831.63822,2016
-0.533977735,2017-01-01,public,25794.6606,2017
0.257394884,2017-02-01,public,25709.52512,2017
0.397487585,2017-03-01,public,25736.31792,2017
0.325607388,2017-04-01,public,25695.01981,2017
0.808517091,2017-05-01,public,25827.68794,2017
0.661645075,2017-06-01,public,25998.57557,2017
