Region,code,authority,2015,2016,2017,2018,2019,2020,2021
South East,E06000042,Milton Keynes,16.4,14.5,13.3,13.4,15.1,14.5,14.9
South East,E06000043,Brighton and Hove,20.9,19.9,18,19.3,17.5,17.4,13.7
South East,E06000044,Portsmouth,19.8,20.1,15.2,17.5,16.4,16.6,13.6
South East,E06000045,Southampton,20.5,17.8,17.4,16.2,16.8,14.4,12.5
South East,E06000060,Buckinghamshire unitary authority,[x],[x],[x],[x],[x],[x],10.5
South East,E07000061,Eastbourne,18.8,21.3,12.3,14.1,16.7,11.3,13
South East,E07000062,Hastings,25.6,25.7,22.2,17,16.5,17,25.8
South East,E07000063,Lewes,17.7,11.6,13.3,11,10.1,8.9,12.4
South East,E07000064,Rother,15.7,15.1,16.9,16.8,12.4,17.9,16.7
South East,E07000065,Wealden,14.4,14.2,8.8,11.5,9.4,10.7,12
South East,E07000084,Basingstoke and Deane,20.2,15.6,16.9,11.9,7.7,8.1,14.7
South East,E07000085,East Hampshire,12.7,9.9,7.7,7.8,5.6,9,10.1
South East,E07000086,Eastleigh,16.5,8.8,13.8,10.6,8.9,8.4,10.1
South East,E07000087,Fareham,7.7,10.7,8.7,11.5,11.3,7,11.1
South East,E07000088,Gosport,15.8,21.9,19.6,15,18.2,13.3,11.1
South East,E07000089,Hart,16.9,11.7,7.8,8.8,3.4,7.7,8.7
South East,E07000090,Havant,18.1,21.9,21.4,18.3,16.2,16.3,11.4
South East,E07000091,New Forest,11.8,14.4,15.7,12.6,8.1,9.1,11.4
South East,E07000092,Rushmoor,24,16.2,18.4,17.7,16.5,12.8,12.9
South East,E07000093,Test Valley,10.2,12.8,11,10.9,9.2,8.7,9.5
South East,E07000094,Winchester,11.2,7.5,15.5,10.9,7.7,6.4,6
South East,E07000105,Ashford,14.5,17.4,18.1,21.5,10.1,14.5,17.1
South East,E07000106,Canterbury,15.3,10.1,14.8,13.2,8.4,8.7,18.2
South East,E07000107,Dartford,19,14.3,10.2,9.9,26.4,17.2,5.1
South East,E07000108,Dover,29.7,17.7,18.7,13.1,15.9,17.5,23.4
South East,E07000109,Gravesham,16.5,11.5,18.3,10.5,10.7,16.6,16.7
South East,E07000110,Maidstone,13.2,17.4,17.1,12.3,14.5,17.7,10.8
South East,E07000111,Sevenoaks,15.6,8.3,12,8.3,12.5,12.7,4.8
South East,E07000112,Folkestone and Hythe,15.8,18.4,16.5,22.8,14.1,10.8,11.5
South East,E07000113,Swale,18.2,20.2,17.9,21.3,15,17.9,13
South East,E07000114,Thanet,19.2,18.1,23.7,19.7,21,18.1,16.9
South East,E07000115,Tonbridge and Malling,14.1,17.1,11.6,12.2,9.3,8.1,11.5
South East,E07000116,Tunbridge Wells,15.3,12.2,15,14.5,8,13.9,13.3
South East,E07000177,Cherwell,20.5,9.5,11.6,11.4,11.8,12.1,12.5
South East,E07000178,Oxford,13.7,10.7,9,8.3,13.5,12.8,12.1
South East,E07000179,South Oxfordshire,9.5,10.7,10.4,13.4,12.4,17.9,9.2
South East,E07000180,Vale of White Horse,18.1,15,9.7,6.8,11.6,10.3,12.8
South East,E07000181,West Oxfordshire,16.5,14.8,13.7,10.7,10.3,12.1,3.7
South East,E07000207,Elmbridge,12.9,12.2,10.9,7.7,8.4,5,8.3
South East,E07000208,Epsom and Ewell,13.8,4.9,9.2,6.7,10,7.8,5.5
South East,E07000209,Guildford,14,12.5,11,10.6,12.5,11.5,5.9
South East,E07000210,Mole Valley,13.3,9.1,11.2,8,8.3,18,12.4
South East,E07000211,Reigate and Banstead,15.2,14.5,9.5,9.8,8.8,11.5,8.8
South East,E07000212,Runnymede,11.1,14,14.6,11.1,17.7,14.1,9
South East,E07000213,Spelthorne,15.2,18.6,16.8,15.1,7.8,13.3,9.9
South East,E07000214,Surrey Heath,12.7,12.4,9.6,9.9,11.4,11.2,5.7
South East,E07000215,Tandridge,17.9,14.7,11.7,13,8,8.1,11.7
South East,E07000216,Waverley,11.7,9.1,8.3,7.1,10.1,9.1,4.4
South East,E07000217,Woking,16.2,12.9,9.1,14.5,7.6,6.4,6.1
South East,E07000223,Adur,17.1,16.5,11.9,17.7,5.1,11.2,10.8
South East,E07000224,Arun,12.3,21.7,17,12.9,14.7,10.5,9.8
South East,E07000225,Chichester,11.7,13.8,10.7,10.8,9.3,9.2,12.8
South East,E07000226,Crawley,21.6,20.9,11,14,15.1,24.9,19.2
South East,E07000227,Horsham,12.9,9.3,9,9.4,5.7,10,8.4
South East,E07000228,Mid Sussex,14.4,12.6,17.5,12.6,8.6,12,9.3
South East,E07000229,Worthing,15.8,13.3,9.8,13.1,8.5,17.5,18.6
South West,E06000022,Bath and North East Somerset,13.8,13.6,13.4,11.7,13,11.2,9.7
South West,E06000023,"Bristol, City of",18.1,16.3,11.1,16.3,18,18,16.4
South West,E06000024,North Somerset,11.7,11.7,11.1,12,11.3,11.9,12.9
South West,E06000025,South Gloucestershire,12.3,9.7,10.5,10.6,11.2,10.2,12.2
South West,E06000026,Plymouth,20.6,17.2,18.4,17,18.5,19.1,15.5
South West,E06000027,Torbay,17,16.7,14.8,16,15,14.1,15.4
South West,E06000030,Swindon,18.6,14.9,17.3,17.7,13.1,13.7,12.5
South West,E06000052,Cornwall,18.1,15.7,14.8,13.8,15.2,12.9,11.5
South West,E06000054,Wiltshire,14.3,13.9,14,12.3,14.6,13.8,11.7
South West,E06000058,"Bournemouth, Christchurch and Poole",17.5,16.1,12.7,14.6,13.9,11,11.4
South West,E06000059,Dorset,15,12.9,12.4,12.4,10.1,10.9,9.4
South West,E07000040,East Devon,9.1,6.1,9.2,8.6,10.3,10,11.1
South West,E07000041,Exeter,14.2,13.9,12.4,17.2,11.4,6.6,12.2
South West,E07000042,Mid Devon,10,17.1,16.9,13.3,10.6,9.6,10.8
South West,E07000043,North Devon,14.5,12.8,15.3,14.4,16.5,12.7,10.3
South West,E07000044,South Hams,13,13.6,16.2,17.3,20.4,8.7,5.1
South West,E07000045,Teignbridge,12.5,12.1,16.3,14.1,11.8,11.4,19
South West,E07000046,Torridge,12.5,18.1,15.4,7.1,12.6,11.1,6.4
South West,E07000047,West Devon,12.3,14,4.9,14.3,20.6,14.4,13.9
South West,E07000078,Cheltenham,11.2,11.9,10.5,10.8,10.7,8.4,8.7
South West,E07000079,Cotswold,14.1,5.8,9.8,12.2,11,11.3,6.6
South West,E07000080,Forest of Dean,20.3,17.2,15.2,10.8,13.2,15.2,15.3
South West,E07000081,Gloucester,18.7,16.8,21.3,13.5,20.1,21.1,19.4
South West,E07000082,Stroud,10.4,11.4,12,11.9,9.6,7.3,13
South West,E07000083,Tewkesbury,14.8,11.6,15.9,13.9,12.3,18.1,12.7
South West,E07000187,Mendip,19.5,12.1,13.5,11.4,12.5,13.1,9.4
South West,E07000188,Sedgemoor,14,15.2,16.4,17.7,20.5,19.9,17.3
South West,E07000189,South Somerset,17.2,10.3,11.9,17.2,12.5,11,13.6
South West,E07000246,Somerset West and Taunton,13.8,12.5,15.4,16.4,12.9,10,17.3
Scotland,S12000005,Clackmannanshire,23.1,24.3,17.5,19.2,17.3,15.1,16.6
Scotland,S12000006,Dumfries and Galloway,18.2,18.1,17.3,15.6,18.4,17.3,12.6
Scotland,S12000008,East Ayrshire,22.6,21.2,18.8,17,15.8,14.9,15.3
Scotland,S12000010,East Lothian,16,15.5,13.4,14.2,15.8,11.4,12
Scotland,S12000011,East Renfrewshire,13.5,11.5,9.4,10.4,10.3,9.5,11.2
Scotland,S12000013,Na h-Eileanan Siar,13.2,14.9,13.1,11.9,14.6,12.7,12
Scotland,S12000014,Falkirk,21.5,18.8,17.9,16.9,17.4,13.4,14.8
Scotland,S12000017,Highland,15.5,17.8,13.4,12.1,10.8,12.9,11
Scotland,S12000018,Inverclyde,22.4,20.6,18.2,17.5,15.9,16.7,16.9
Scotland,S12000019,Midlothian,16.6,16.4,15.5,15.3,15.3,15.7,12.1
Scotland,S12000020,Moray,15.8,15.1,16.9,15.9,12.4,14.5,11.3
Scotland,S12000021,North Ayrshire,20.7,20.6,16.4,18.9,15.8,15.9,17.9
Scotland,S12000023,Orkney Islands,7,8.5,6.3,10.2,11.6,15.7,10.4
