code,area,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
E09000001,City of London,1.3170410477793224,2.3997508655589956,1.5962270995828043,1.6085887796414111,1.9211433496121804,1.9972039145196727,1.3790449312081077,1.9635787806809184,3.9849457604604823,4.966272665387709,4.562525673375975,4.427141893411289,3.7552915471801174,4.526112185686654,4.070066975785677
E09000002,Barking and Dagenham,2.3193569607530358,2.212941337321326,2.220064998100705,2.2854404412259264,2.066719959445495,1.9070117870439112,1.5826169957156886,1.021975184485547,1.1091201519845424,1.3403241489344555,1.2231173156758222,1.659773975902346,2.007640729767659,1.837209897392595,1.7984207145825726
E09000003,Barnet,2.650817892004576,2.654087106576134,2.2971595883627804,2.1336082924947055,1.7871801933331737,1.6444339494085543,1.8211165497110522,1.5039977744240036,1.5563996272548464,1.5778990813145002,1.9353812858817439,2.3058312110250823,2.767904602714109,2.9169064225056434,2.8766841445699005
E09000004,Bexley,2.181818952472587,1.8512970683049503,2.0739291012973893,2.3958483161343898,1.3284668175955483,1.1298166620413823,1.216138779986066,1.288897832402004,1.5039426024247362,1.6567699417221222,1.6941612378346425,1.4644493518418111,1.5335508297083937,1.5956489572294095,1.8728751217766466
E09000005,Brent,2.057258548780067,2.1092520771645193,2.114504429752951,2.061990813157769,0.9927938977439857,1.0286399133190143,0.9200160509790068,0.8207771946038988,0.9225601504199614,0.9343607429080691,1.3566372374882456,1.8346733291054111,2.138259516193366,2.4377068512953173,2.1036022225047297
E09000006,Bromley,2.7028725408198837,2.618806860574038,2.4586036316241593,2.349454469929192,1.9417063595457595,1.9321540816207312,2.000424663032792,1.911334320916284,1.8908635995845264,2.130948421913515,2.1234403989855144,2.1673627642841207,2.4556069339752113,2.563940282553814,2.594634016353207
E09000007,Camden,2.6299555180363,2.90804114227614,2.872941459310013,2.858128369540945,2.7765455179188185,2.8151622927768787,2.5629072789700578,2.7599573602093224,2.8876956227203663,3.5700821620925285,3.640863292061453,4.316409045037477,4.407960382867068,4.135255396609422,3.9585815082928617
E09000008,Croydon,2.7820389485452797,2.4502646530308443,2.4564649322412713,2.4273233408746844,1.907476019152507,1.7064880489264234,2.0656548257788443,1.8327381825889875,2.2519373331571635,2.326629639232935,2.332136463299338,2.547801656538392,2.394113623338448,2.239727485629125,2.358651277054854
E09000009,Ealing,2.4038499579840575,2.1260617503524393,1.9160763285555913,1.851718963037381,1.9570997557292455,1.935993557405386,2.4336269763265506,2.698717225294361,3.1224551282242494,3.0894134235675588,1.8808354823418902,1.8135517493887026,2.101656276824789,2.2543158835689145,2.1765825928583253
E09000010,Enfield,2.079202010890111,2.113109941926592,2.0665016961373954,2.068661252634847,1.8080418841357333,1.552877962727692,1.5374692627081066,1.841847939342449,1.8683932136522357,2.3540041848963287,2.491970929636147,2.4393503451095073,2.3989504591741113,2.2958688341242537,2.3370290643396676
E09000011,Greenwich,3.409704739265329,3.150477686064738,3.3105266218285427,2.30226045323605,1.9488634958559305,1.7266341056711338,1.6642974829817243,1.3859187740579302,1.5551601992737845,1.480548831953348,1.6031420553878282,1.468667862307587,2.0914416982737962,2.0846623157825865,1.9625153891012765
E09000012,Hackney,3.8519621911639885,3.014056821930026,3.1052261542067026,2.1707459333697736,2.1209911346652315,1.8912094884424844,2.0997169053083997,1.9659701931756992,1.7728375148147044,1.763860415333483,1.7906520018348273,2.226756078643361,1.7646401526546962,2.00980724854079,1.8309835430458
E09000013,Hammersmith and Fulham,2.500172851456397,2.3467156359391805,2.3619371282922685,2.565842359176954,1.1831145130310246,1.279554078964392,0.9694150146170519,0.9709582557552767,0.9416756786480195,0.7825861097711948,0.7314452648076043,0.8220380633177281,1.087272453252667,1.3152227579759015,1.303434067356172
E09000014,Haringey,2.283603307085329,1.8437562354147148,1.6818177454810748,1.9617422391886419,1.3491685924833916,1.268221928557143,2.233973546472614,2.355595584070714,2.2843957630489546,2.3815412818675505,2.0487212655099403,2.226744924936858,2.2492036460217597,3.0320445837687218,2.6490867303737753
