country,value,rank,iso3
Samoa,0.0,343,WSM
San Marino,0.0,307,SMR
Sao Tome and Principe,0.0,312,STP
Saudi Arabia,451.17,50,SAU
Senegal,46.57,125,SEN
Serbia,340.9,57,SRB
Seychelles,624.23,34,SYC
Sierra Leone,0.0,305,SLE
Singapore,440.57,51,SGP
Sint Maarten (Dutch part),0.0,315,SXM
Slovakia,579.15,39,SVK
Slovenia,987.64,18,SVN
Solomon Islands,0.0,304,SLB
Somalia,0.0,308,SOM
South Africa,176.02,82,ZAF
South Georgia and the South Sandwich Islands,0.0,301,SGS
South Korea,754.65,31,KOR
South Sudan,0.0,311,SSD
Spain,702.26,32,ESP
Sri Lanka,69.71,117,LKA
Sudan,29.54,134,SDN
Suriname,83.66,109,SUR
Svalbard and Jan Mayen,0.0,303,SJM
Sweden,973.87,20,SWE
Switzerland,1199.14,12,CHE
Syrian Arab Republic,0.0,316,SYR
"Taiwan, Province of China",0.0,329,TWN
Tajikistan,15.62,145,TJK
Tanzania,33.31,131,TZA
Thailand,137.64,93,THA
Timor-Leste,26.17,137,TLS
Togo,49.32,124,TGO
Tokelau,0.0,322,TKL
Tonga,0.0,325,TON
Trinidad and Tobago,0.0,326,TTO
Tunisia,145.3,86,TUN
Turkey,601.77,38,TUR
Turkmenistan,203.99,75,TKM
Turks and Caicos Islands,0.0,317,TCA
Tuvalu,0.0,328,TUV
Uganda,23.89,138,UGA
Ukraine,141.02,91,UKR
United Arab Emirates,846.06,26,ARE
United Kingdom,1538.63,4,GBR
United States,1616.81,3,USA
United States Minor Outlying Islands,0.0,333,UMI
Uruguay,539.4,43,URY
Uzbekistan,90.2,107,UZB
Vanuatu,0.0,341,VUT
"Venezuela, Bolivarian Republic of",0.0,337,VEN
Viet Nam,0.0,340,VNM
Vietnam,93.51,106,VNM
"Virgin Islands, British",0.0,338,VGB
"Virgin Islands, U.S.",0.0,339,VIR
Wallis and Futuna,0.0,342,WLF
Western Sahara,0.0,205,ESH
Yemen,0.0,344,YEM
Zambia,23.47,139,ZMB
Zimbabwe,105.57,100,ZWE
Åland Islands,0.0,153,ALA
