,Date,Date_Fraction,P,D,E,CPI,Rate GS10,Price_real,Dividend_real,Earnings_real,PE_ratio,Date_iso
63,1876.04,1876.291667,4.34,0.3,0.3333,10.75149091,4.555,131.0587054,9.059357518,10.0649462,13.02130213,1876-04-01
64,1876.05,1876.375,4.18,0.3,0.3267,10.37091074,4.543333333,130.8591882,9.391807763,10.22767865,12.79461279,1876-05-01
65,1876.06,1876.458333,4.15,0.3,0.32,10.08541488,4.531666667,133.5977564,9.657669135,10.30151374,12.96875,1876-06-01
66,1876.07,1876.541667,4.1,0.3,0.3133,10.08541488,4.52,131.9881448,9.657669135,10.0858258,13.08649856,1876-07-01
67,1876.08,1876.625,3.93,0.3,0.3067,10.18058017,4.508333333,125.3328336,9.567391875,9.781063627,12.81382458,1876-08-01
68,1876.09,1876.708333,3.69,0.3,0.3,10.27574545,4.496666667,116.5890772,9.478786768,9.478786768,12.3,1876-09-01
69,1876.1,1876.791667,3.67,0.3,0.2933,10.46599504,4.485,113.849303,9.30648253,9.098637754,12.51278554,1876-01-01
70,1876.11,1876.875,3.6,0.3,0.2867,10.56116033,4.473333333,110.6714758,9.222622984,8.813753365,12.55667946,1876-11-01
71,1876.12,1876.958333,3.58,0.3,0.28,10.75149091,4.461666667,108.108333,9.059357518,8.45540035,12.78571429,1876-12-01
72,1877.01,1877.041667,3.55,0.2908,0.2817,10.9417405,4.45,105.3384149,8.62884818,8.358825765,12.60205893,1877-01-01
73,1877.02,1877.125,3.34,0.2817,0.2833,10.65632562,4.440833333,101.7615751,8.582705302,8.631453362,11.78962231,1877-02-01
74,1877.03,1877.208333,3.17,0.2725,0.285,10.18058017,4.431666667,101.0954408,8.690380953,9.089022281,11.12280702,1877-03-01
75,1877.04,1877.291667,2.94,0.2633,0.2867,10.46599504,4.4225,91.2035288,8.167989501,8.893895138,10.25462156,1877-04-01
76,1877.05,1877.375,2.94,0.2542,0.2883,10.65632562,4.413333333,89.57456013,7.744848022,8.783791049,10.19771072,1877-05-01
77,1877.06,1877.458333,2.73,0.245,0.29,10.08541488,4.404166667,87.88478913,7.88709646,9.33574683,9.413793103,1877-06-01
78,1877.07,1877.541667,2.85,0.2358,0.2917,10.18058017,4.395,90.89022281,7.519970014,9.302694033,9.770311964,1877-07-01
79,1877.08,1877.625,3.05,0.2267,0.2933,9.8,4.385833333,101.0458776,7.510524735,9.716969143,10.39890897,1877-08-01
80,1877.09,1877.708333,3.24,0.2175,0.295,9.704834711,4.376666667,108.3931166,7.276389769,9.869126353,10.98305085,1877-09-01
81,1877.1,1877.791667,3.31,0.2083,0.2967,9.704834711,4.3675,110.7349431,6.968606845,9.925999285,11.15604988,1877-01-01
82,1877.11,1877.875,3.26,0.1992,0.2983,9.514585124,4.358333333,111.2429713,6.797423278,10.17907311,10.92859537,1877-11-01
83,1877.12,1877.958333,3.25,0.19,0.3,9.514585124,4.349166667,110.9017352,6.483486058,10.23708325,10.83333333,1877-12-01
84,1878.01,1878.041667,3.25,0.1892,0.3008,9.229089256,4.34,114.3324082,6.655905117,10.58190412,10.80452128,1878-01-01
85,1878.02,1878.125,3.18,0.1883,0.3017,9.134004959,4.33,113.0344208,6.693201709,10.72405181,10.54027179,1878-02-01
