ITL1_code,ITL1_name,value
TLC,North East,13.64966328
TLD,North West,12.64843275
TLE,Yorkshire and The Humber,12.32435938
TLF,East Midlands,11.88925457
TLG,West Midlands,12.32160926
TLK,South West,12.0429911
TLH,East,13.93088937
TLJ,South East,10.58800427
TLI,London,10.69230926
TLN,Northern Ireland,7.286358116
TLM,Scotland,11.27065515
TLL,Wales,11.48693519
